model,make,model_variant,price,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,has_discount,certifications,volts_ac,kw_ac
Plug-In Home,Legrand,9.6kW,475,40.0,Wall mounted,18,Hardwired,J1772,False,1,True,False,False,"cETL, Energy Star, ETL, FCC, IC, RoHS",240.0,9.6
Spectrum GWI,Gateway International 360,EV50,799,32.0,Portable,16,Hardwired,J1772,False,3,True,True,False,UL,240.0,9.6
Spectrum GWI,Gateway International 360,EV200,899,40.0,Wall mounted,16,Hardwired,J1772,True,3,True,True,False,"CE, cETL, Energy Star, ETL, FCC, REACH, RoHS, UL",240.0,9.6
Spectrum GWI,Gateway International 361,EV260,999,48.0,Wall mounted,16,Hardwired,J1772,True,3,True,True,False,"cETL, Energy Star, ETL, FCC, UL",240.0,11.5
Spectrum GWI,Gateway International 362,EV400,1099,50.0,Wall mounted,16,Hardwired,J1772,True,3,True,True,False,"CE, cETL, Energy Star, ETL, REACH, ROHS, UL",240.0,9.6
EVC-L2-48A-L1-1-4G-D,breezeEV,,3017,48.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"Energy Star, ETL",240.0,11.5
EVC-L2-P80-18-AP1,breezeEV,,4409,80.0,Wall mounted,18,Hardwired,J1772,False,5,True,True,False,"Energy Star, ETL",240.0,19.2
EVC-L2-S48-18,breezeEV,,599,48.0,Wall mounted,18,14-50,J1772,False,3,True,True,False,"Energy Star, ETL",240.0,11.5
EVC-L2-R40-18,breezeEV,,746,40.0,Wall mounted,18,14-50,J1772,False,3,True,True,False,"Energy Star, ETL",240.0,9.6
EVC-L2-R48-18,breezeEV,,820,48.0,Wall mounted,18,14-50,J1772,False,3,True,True,False,"Energy Star, ETL",240.0,11.5
SES-EVC-AC48A01HW-U-SHSB,SARIN Energy,,799,48.0,Wall mounted,25,Hardwired,J1772,True,1,True,True,False,"Energy Star, ETL",250.0,11.5
SES-EVC-AC48A01HW-U-SHSB,SARIN Energy,,899,48.0,Pedestal,25,Hardwired,J1772,True,1,True,True,False,"Energy Star, ETL",250.0,11.5
SES-EVC-DC120KW,SARIN Energy,,71036,,Cabinet,16,Hardwired,"CCS1,CHAdeMO",True,1,True,True,False,ETL,,
SES-EVC-DC240KW,SARIN Energy,,144236,,Cabinet,16,Hardwired,"CCS1,CHAdeMO",True,1,True,True,False,ETL,,
A,Zencar,16A,109,16.0,Portable,23,14-50,J1772,True,1,True,False,False,CE,230.0,3.6
A,Zencar,32A,125,32.0,Portable,23,14-50,J1772,True,1,True,False,False,CE,230.0,7.4
C,Zencar,16A,187,16.0,Portable,23,14-50,J1772,False,1,True,False,False,"CE, RoHS",230.0,11.0
C,Zencar,32A,216,32.0,Portable,23,14-50,J1772,False,1,True,False,False,"CE, RoHS",230.0,22.0
D,Zencar,3.6kW,133,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,220.0,3.6
D,Zencar,7.2kW,151,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,220.0,7.2
D,Zencar,11kW,206,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,220.0,11.0
D,Zencar,22kW,239,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,230.0,22.0
E,Zencar,3.6kW,117,16.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,230.0,3.6
E,Zencar,7.2kW,148,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,230.0,7.2
E,Zencar,11kW,201,16.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,230.0,11.0
E,Zencar,22kW,230,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,230.0,22.0
E Pro,Zencar,16A,181,16.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,220.0,7.2
E Pro,Zencar,32A,196,32.0,Portable,23,14-50,J1772,False,1,True,False,False,CE,220.0,11.0
AXLU191001,Zerova,,1299,80.0,Wall mounted,25,Hardwired,J1772,True,1,True,False,False,"CTEP, Energy Star, FCC, UL",240.0,19.0
EV016,3L3Y,,159,16.0,Portable,15,6-20,J1772,False,1,True,True,False,"CE, TUV, UL",240.0,3.84
7.7kW,3L3Y,,560,32.0,Wall mounted,25,6-20,J1772,False,1,True,True,False,"CE, TUV, UL",240.0,7.7
iFlow,AMPROAD,P9,359,40.0,Portable,25,14-50,J1772,True,1,True,False,False,UL,240.0,9.6
16A EV Charger,Vevor,,96,16.0,Portable,25,6-20,J1772,False,1,True,False,False,"CE, UL",240.0,3.84
24A EV Charger,Vevor,,215,24.0,Portable,25,10-30,J1772,False,1,True,False,False,"CE, UL",240.0,5.76
WB-SC-AC1.0-16A,Vevor,,150,15.0,Portable,25,6-20,J1772,False,1,True,False,False,"CE, UL",240.0,3.84
EV-A01-US009A,Vevor,Jun-50,430,40.0,Wall mounted,22,6-50,J1772,False,1,True,False,False,"Energy Star, ETL",240.0,9.6
EV-A01-US009A,Vevor,14-50,463,40.0,Wall mounted,22,14-50,J1772,False,1,True,False,False,"Energy Star, ETL",240.0,9.6
IQ 40,Enphase,,622,32.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"Energy Star, NEC, UL",240.0,7.7
IQ 50,Enphase,,688,40.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"Energy Star, NEC, UL",240.0,9.6
IQ 60,Enphase,,1099,48.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"Energy Star, NEC, UL",240.0,11.5
IQ 80,Enphase,,1176,64.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"Energy Star, NEC, UL",240.0,15.4
Blazer,Injet,,1399,40.0,Pedestal,16,Hardwired,J1772,True,2,True,False,False,"Energy Star, FCC, UL",240.0,10.0
Blazer,Injet,,1499,40.0,Wall mounted,17,Hardwired,J1772,True,2,True,False,False,"Energy Star, FCC, UL",240.0,10.0
Nexus,Injet,Floor Mount,1499,40.0,Pedestal,16,14-50,J1772,True,1,True,False,False,"Energy Star, FCC, UL",240.0,10.0
Nexus,Injet,Wall Mount,1599,40.0,Wall mounted,16,14-50,J1772,True,1,True,False,False,"Energy Star, FCC, UL",240.0,10.0
Vision,Injet,Floor Mount,1499,80.0,Pedestal,18,Hardwired,J1772,True,1,True,False,False,"Energy Star, ETL, FCC",240.0,19.2
Vision,Injet,Wall Mount,1399,80.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"Energy Star, ETL, FCC",240.0,19.2
Swift,Injet,Wall Mount,1899,32.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"CE, REACH, RoHS",400.0,22.0
Swift,Injet,Pole Mount,2100,32.0,Pedestal,18,Hardwired,J1772,True,1,True,False,False,"CE, REACH, RoHS",400.0,22.0
Swift,Injet,Pole Mount,2100,32.0,Pedestal,18,Hardwired,J1772,True,1,True,False,False,"CE, REACH, RoHS",240.0,7.0
Swift,Injet,Wall Mount,1499,32.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"CE, REACH, RoHS",240.0,7.0
Sonic Series 22kW,Injet,22kW Wall Mounted,1899,32.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"CE, RoHS, TUV",230.0,22.0
Sonic Series 11kW,Injet,11kW Wall Mounted,1799,16.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"CE, RoHS, TUV",400.0,11.0
Sonic Series 7kW,Injet,7kW Wall Mounted,1499,32.0,Wall mounted,18,Hardwired,J1772,True,1,True,False,False,"CE, RoHS, TUV",230.0,7.0
EV320,Leviton,,649,32.0,Wall mounted,18,Hardwired,J1772,False,2,True,False,False,"CSA, Energy Star, UL",240.0,7.6
EV320,Leviton,,649,32.0,Wall mounted,18,Hardwired,J1772,False,2,True,False,False,"CSA, Energy Star, UL",240.0,7.6
EV32W,Leviton,,749,32.0,Wall mounted,18,Hardwired,J1772,True,2,True,False,False,"CSA, Energy Star, UL",240.0,7.6
IQ 40 P,Enphase,Wall Mounted,622,32.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cETL, CSA, Energy Star, ETL, FCC, NEC, UL",240.0,7.7
IQ 50 P,Enphase,Wall Mounted,688,40.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cETL, CSA, Energy Star, ETL, FCC, NEC, UL",240.0,9.6
HCS 50 P,Enphase,Wall Mounted,809,40.0,Wall mounted,25,Hardwired,J1772,False,5,True,True,False,"cETL, Energy Star, ETL",240.0,9.6
Pulsar Max,Wallbox,,1218,32.0,Wall mounted,25,Hardwired,J1772,True,3,True,False,False,UL,400.0,22.0
Commander 2S,Wallbox,,1371,32.0,Wall mounted,16,Hardwired,J1772,True,3,True,False,False,"CE, IEC",400.0,22.0
Portable,Rivian,,400,32.0,Portable,18,"5-15,14-50",J1772,False,1,True,True,False,Energy Star,240.0,7.6
R1T,Rivian,,229,40.0,Portable,25,14-50,J1772,False,1,True,True,False,UL,240.0,9.6
NOVO,Atess,EVA-07D-SE/PE,1234,32.0,Pedestal,16,Hardwired,J1772,True,1,True,False,False,"CE, RCM",230.0,7.3
