model,make,model_variant,price,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,has_discount,certifications,volts_ac,kw_ac
EV Flex,Loop,,4150,32.0,Wall mounted,25,Hardwired,J1772,True,3,True,False,False,"Energy Star, FCC, UL",240.0,7.68
Wall Charger,Rivian,,800,48.0,Wall mounted,25,Hardwired,J1772,True,5,True,False,False,"Energy Star, FCC, UL",240.0,11.5
Pulsar Plus,Wallbox,40A,649,40.0,Wall mounted,25,"14-50, Hardwired",J1772,True,3,True,False,False,"cUL, UL",240.0,9.6
Charge Station Pro,Sunrun/Ford,48A,799,48.0,Wall mounted,25,Hardwired,J1772,True,3,True,False,False,UL,240.0,11.0
Charge Station Pro,Sunrun/Ford,80A,1310,80.0,Wall mounted,25,Hardwired,J1772,True,3,True,False,False,UL,240.0,19.2
AWLU770,Mid-Cour,,2032,32.0,Wall mounted,13,Hardwired,J1772,True,0,True,False,False,"FCC, UL",240.0,7.7
AW8U770,Mid-Cour,,2032,32.0,Wall mounted,13,14-50,J1772,True,0,True,False,False,"FCC, UL",240.0,7.7
AW9U770,Mid-Cour,,2032,32.0,Wall mounted,13,6-50,J1772,True,0,True,False,False,"FCC, UL",240.0,7.7
Green Motion Smart Breaker Charger,Eaton,Direct Connect Kit,813,32.0,Wall mounted,25,Hardwired,J1772,True,3,False,False,False,"CSA, Energy Star, FCC, UL",240.0,7.7
Green Motion Building,Eaton,,882,40.0,Wall mounted,25,Hardwired,J1772,True,3,True,False,False,"Energy Star, ETL, FCC",240.0,9.6
32A Basic,LITEON,,550,32.0,Wall mounted,25,6-50,J1772,False,0,True,True,False,UL,240.0,7.6
32A Smart,LITEON,,550,32.0,Wall mounted,25,6-50,J1772,True,0,True,True,False,UL,240.0,7.6
32A Intelligent,LITEON,,550,32.0,Wall mounted,25,Hardwired,J1772,True,0,True,True,False,UL,240.0,7.6
40A Basic,LITEON,,1099,40.0,Wall mounted,25,6-50,J1772,False,0,True,True,False,UL,240.0,9.6
40A Smart,LITEON,,1099,40.0,Wall mounted,25,6-50,J1772,True,0,True,True,False,UL,240.0,9.6
40A Intelligent,LITEON,,1099,40.0,Wall mounted,25,Hardwired,J1772,True,0,True,True,False,UL,240.0,9.6
48A Basic,LITEON,,1350,48.0,Wall mounted,25,6-50,J1772,False,0,True,True,False,UL,240.0,11.5
48A Smart,LITEON,,1350,48.0,Wall mounted,25,6-50,J1772,True,0,True,True,False,UL,240.0,11.5
48A Intelligent,LITEON,,1350,48.0,Wall mounted,25,Hardwired,J1772,True,0,True,True,False,UL,240.0,11.5
80A Basic,LITEON,,5148,80.0,Wall mounted,25,6-50,J1772,False,0,True,True,False,UL,240.0,19.2
80A Smart,LITEON,,5148,80.0,Wall mounted,25,6-50,J1772,True,0,True,True,False,UL,240.0,19.2
80A Intelligent,LITEON,,5148,80.0,Wall mounted,25,Hardwired,J1772,True,0,True,True,False,UL,240.0,19.2
ICE-40 AC,InCharge,,1099,40.0,Wall mounted,25,14-50,J1772,True,0,True,True,False,"TUV, UL",240.0,9.6
ICE-80 AC,InCharge,,2627,80.0,Wall mounted,25,14-50,J1772,True,0,True,True,False,UL,240.0,19.2
BS-PCD020,BESEN,Portable,749,16.0,Portable,16,6-20,J1772,False,1,True,False,False,"CE, CSA, TUV",220.0,3.6
BS-PCD030,BESEN,Portable,799,16.0,Portable,16,6-20,J1772,False,1,True,False,False,"CE, TUV",220.0,3.6
BS-PCD040,BESEN,Portable,999,40.0,Portable,16,14-50,J1772,False,1,True,False,False,"CE, ETL, FCC, Rohs",220.0,8.8
