Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP,Match_Score,Vehicle_URL
Hyundai,IONIQ 6 Preferred Long Range,,581 km,"$5,000","$54,999",N/A,https://ev.plugndrive.ca/vehicles/Hyundai_Ioniq_6_Pref_Long_Range_BEV_2024_CA
Toyota,bZ4X XLE,,367 km,"$5,000","$55,050",N/A,https://ev.plugndrive.ca/vehicles/Toyota_bZ4X_XLE_AWD_BEV_2024_CA
Volvo,S60 Recharge Core,64 km,856 km,"$5,000","$54,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_S60_Recharge_PHEV_2025_CA
Chevrolet,Equinox 3RS AWD,,459 km,"$5,000","$55,899",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Equinox_EV_3RS_AWD_BEV_2024_CA
Dodge,Hornet R/T,53 km,573 km,"$5,000","$55,745",N/A,https://ev.plugndrive.ca/vehicles/Dodge_Hornet_RT_PHEV_2024_CA
Kia,EV6 Wind RWD,,499 km,"$5,000","$55,995",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV6_Wind_RWD_BEV_2024_CA
Toyota,RAV4 Prime XSE AWD,68 km,950 km,"$5,000","$55,990",N/A,https://ev.plugndrive.ca/vehicles/Toyota_RAV4_Prime_XSE_PHEV_2024_CA
Subaru,Solterra AWD,,359 km,"$5,000","$56,495",N/A,https://ev.plugndrive.ca/vehicles/Subaru_Solterra_BEV_2024_CA
BMW,3 Series 330e,35 km,503 km,"$2,500","$54,900",N/A,https://ev.plugndrive.ca/vehicles/BMW_330e_PHEV_2024_CA
Chevrolet,Blazer EV LT eAWD,,449 km,"$5,000","$56,999",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Blazer_EV_LT_AWD_BEV_2024_CA
Ford,Mustang Mach E Select Standard Range AWD,,370 km,"$5,000","$56,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Select_Standard_Range_AWD_BEV_2024_CA
Mazda,CX-90 GS,42 km,789 km,"$2,500","$54,900",N/A,https://ev.plugndrive.ca/vehicles/Mazda_CX_90_PHEV_2024_CA
Volkswagen,ID.4 Pro AWD,,423 km,"$5,000","$57,995",N/A,https://ev.plugndrive.ca/vehicles/Volkswagen_ID.4_Pro_AWD_BEV_2024_CA
Hyundai,IONIQ 6 Preferred Long Range AWD,,509 km,"$5,000","$58,299",N/A,https://ev.plugndrive.ca/vehicles/Hyundai_Ioniq_6_Pref_Long_Range_AWD_BEV_2024_CA
Kia,EV6 Land AWD,,454 km,"$5,000","$58,495",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV6_Land_AWD_BEV_2024_CA
Ford,Mustang Mach E Premium Standard Range RWD,,402 km,"$5,000","$58,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Premium_Standard_Range_RWD_BEV_2024_CA
VinFast,VF8 Plus,,356 km,"$5,000","$59,200",N/A,https://ev.plugndrive.ca/vehicles/VinFast_VF8_Plus_BEV_2024_CA
Volvo,EX30 Ultra Single Motor Extended Range,,420 km,"$5,000","$59,100",N/A,https://ev.plugndrive.ca/vehicles/Volvo_EX30_Single_Motor_Extended_Range_BEV_2025_CA
Chrysler,Pacifica PHEV Select,51 km,835 km,"$5,000","$59,995",N/A,https://ev.plugndrive.ca/vehicles/Chrysler_Pacifica_Hybrid_Select_PHEV_2024_CA
Kia,EV9 Light RWD,,370 km,"$5,000","$59,995",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV9_Light_RWD_BEV_2024_CA
Nissan,Ariya Evolve E-4ORCE,,330 km,"$5,000","$59,998",N/A,https://ev.plugndrive.ca/vehicles/Nissan_Ariya_Evolve_E-4ORCE_BEV_2024_CA
Tesla,Model 3 Long Range AWD,,549 km,"$5,000","$59,990",N/A,https://ev.plugndrive.ca/vehicles/Tesla_Model_3_Long_Range_AWD_BEV_2024_CA
Volvo,C40 Recharge Single Motor,,478 km,"$5,000","$59,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_C40_Recharge_Single_Pure_Electric_BEV_2024_CA
Volvo,EC40 Core Single Motor,,408 km,"$5,000","$59,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_EC40_Single_Motor_BEV_2025_CA
Volvo,XC40 Recharge Single Motor,,472 km,"$5,000","$59,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_XC40_Recharge_Single_Motor_BEV_2024_CA
Volvo,XC60 Recharge Core,58 km,896 km,"$5,000","$59,950",N/A,https://ev.plugndrive.ca/vehicles/Volvo_XC60_Recharge_PHEV_2025_CA
Ford,Mustang Mach E Premium Standard Range AWD,,370 km,"$5,000","$60,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Premium_Standard_Range_AWD_BEV_2024_CA
Ford,Mustang Mach E Select Extended Range AWD,,483 km,"$5,000","$60,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Select_Extended_Range_AWD_BEV_2024_CA
BMW,3 Series 330e xDrive,34 km,486 km,"$2,500","$58,900",N/A,https://ev.plugndrive.ca/vehicles/BMW_330e_xDrive_PHEV_2024_CA
Dodge,Hornet R/T Plus PHEV,53 km,573 km,"$5,000","$61,745",N/A,https://ev.plugndrive.ca/vehicles/Dodge_Hornet_RT_Plus_PHEV_2024_CA
Volvo,EX30 Ultra Twin Motor Performance,,402 km,"$5,000","$62,100",N/A,https://ev.plugndrive.ca/vehicles/Volvo_EX30_Twin_Motor_Performance_BEV_2025_CA
Jeep,Grand Cherokee PHEV 4xe Anniversary Edition,42 km,761 km,"$2,500","$59,995",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Grand_Cherokee_Anniversary_Edition_4xe_PHEV_2025_CA
Jeep,Wrangler PHEV 4xe 4-Door Sport S,35 km,592 km,"$2,500","$59,995",N/A,https://ev.plugndrive.ca/vehicles/Jeep_Wrangler_4xe_Sport_S_PHEV_2024_CA
Alfa Romeo,Tonale Veloce PHEV,53 km,573 km,"$5,000","$63,290",N/A,https://ev.plugndrive.ca/vehicles/Alfa_Romeo_Tonale_Veloce_PHEV_2024_CA
Ford,Mustang Mach E Premium Extended Range RWD,,515 km,"$5,000","$62,995",N/A,https://ev.plugndrive.ca/vehicles/Ford_Mustang_Mach_E_Premium_Extended_Range_RWD_BEV_2024_CA
Kia,EV9 Wind RWD,,489 km,"$5,000","$62,995",N/A,https://ev.plugndrive.ca/vehicles/Kia_EV9_Wind_RWD_BEV_2024_CA
Lexus,NX 450h+,61 km,835 km,"$5,000","$63,186",N/A,https://ev.plugndrive.ca/vehicles/Lexus_NX_450h_Plus_PHEV_2024_CA
Nissan,Ariya Evolve+ FWD,,465 km,"$5,000","$62,998",N/A,https://ev.plugndrive.ca/vehicles/Nissan_Ariya_Evolve+_FWD_BEV_2024_CA
BMW,i4 eDrive40,,484 km,"$5,000","$63,990",N/A,https://ev.plugndrive.ca/vehicles/BMW_i4_eDrive40_BEV_2024_CA
Chevrolet,Blazer EV RS eAWD,,449 km,"$5,000","$63,999",N/A,https://ev.plugndrive.ca/vehicles/Chevrolet_Blazer_EV_RS_AWD_BEV_2024_CA
