Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP
Chevrolet,Blazer EV RS eRWD,,521 km,"$5,000","$63,999"
Volvo,C40 Recharge Twin Motor,,414 km,"$5,000","$63,500"
Volvo,EC40 Core Twin Motor,,431 km,"$5,000","$63,500"
Volvo,XC40 Recharge Twin Motor,,409 km,"$5,000","$63,500"
Audi,e-tron GT quattro,,399 km,$0,"$134,315"
Audi,Q4 e-tron 55 quattro,,415 km,"$5,000","$64,950"
Audi,Q4 Sportback e-tron 55 quattro,,415 km,$0,"$73,900"
Audi,Q5 Q5 55 TFSI e quattro Technik S tronic,39 km,634 km,$0,"$76,865"
Audi,Q6 e-tron,,494 km,$0,"$80,445"
Audi,Q8 e-tron quattro,,459 km,$0,"$92,800"
Audi,Q8 Sportback e-tron quattro,,476 km,$0,"$96,100"
Audi,RS e-tron GT quattro,,399 km,$0,"$184,615"
Audi,SQ6 e-tron Progressiv,,443 km,$0,"$96,595"
Audi,SQ8 e-tron quattro,,409 km,$0,"$108,300"
Audi,SQ8 Sportback e-tron quattro,,409 km,$0,"$110,900"
BMW,i5 M60 xDrive,,412 km,$0,"$95,000"
BMW,iX M60,,476 km,$0,"$129,000"
BMW,iX xDrive40,,351 km,$0,"$82,000"
BMW,iX xDrive50,,500 km,$0,"$98,000"
BMW,X3 xDrive30e,29 km,531 km,$0,"$64,990"
BMW,X5 xDrive50e,63 km,713 km,$0,"$90,500"
BMW,XM,50 km,481 km,$0,"$220,000"
BMW,XM Label,50 km,486 km,$0,"$259,000"
Cadillac,LYRIQ Luxury 1 AWD,,505 km,$0,"$75,894"
Cadillac,LYRIQ Luxury 1 RWD,,505 km,$0,"$71,899"
Cadillac,LYRIQ Luxury 2 RWD,,505 km,$0,"$76,899"
Cadillac,LYRIQ Luxury 3 RWD,,505 km,$0,"$81,199"
Cadillac,LYRIQ Sport 1 AWD,,505 km,$0,"$75,894"
Cadillac,LYRIQ Sport 1 RWD,,505 km,$0,"$71,899"
Cadillac,LYRIQ Sport 2 RWD,,505 km,$0,"$76,899"
Cadillac,LYRIQ Sport 3 RWD,,505 km,$0,"$81,199"
Cadillac,LYRIQ TECH AWD,,494 km,$0,"$70,694"
Cadillac,LYRIQ TECH RWD,,505 km,$0,"$66,699"
Chevrolet,Silverado 3WT,,632 km,$0,"$74,771"
Chevrolet,Silverado 4WT,,724 km,$0,"$80,571"
