Station Name,Street Address,City,State,Zip,Latitude,Longitude,EV Connector Types,EV Network,Status,Open Date
G&M Chevrolet (outside),605 Rue Victoria,EDMUNDSTON,NB,E3V 3M8,47.383792,-68.335849,J1772,FLO,E,2023-07-25
Town of Canmore artsPlace Public Charger,950 8 Ave,Canmore,AB,T1W 2T1,51.089811,-115.362437,J1772,FLO,E,2023-07-25
SWTCH Energy,9 Tri Leisure Way,Spruce Grove,AB,T7X 0G8,53.5489691504947,-113.937473213492,J1772,SWTCH,E,2023-06-06
SWTCH Energy,828 Gauthier Ave,Coquitlam,BC,V3K 0E9,49.2388927978951,-122.874063041415,J1772,SWTCH,E,2023-06-23
SWTCH Energy,635 Farewell St,Oshawa,ON,L1H 6N2,43.8848955456946,-78.8297038748737,J1772,SWTCH,E,2023-06-23
SWTCH Energy,2600 Centennial Way,Squamish,BC,V8B 0H3,49.7267604872819,-123.123012359523,J1772,SWTCH,E,2023-06-26
SWTCH Energy,2175 Salal Dr,Vancouver,BC,V6K 4V2,49.2622732762606,-123.154419316525,J1772,SWTCH,E,2023-06-20
SWTCH Energy,1913 Sooke Rd,Victoria,BC,V9B 1V9,48.4413657345138,-123.470082709282,J1772,SWTCH,E,2023-06-13
SWTCH Energy,1820 Matheson Blvd,Mississauga,ON,L4W 0B3,43.6391628491138,-79.6204697517816,J1772,SWTCH,E,2023-06-15
Swtch Energy,7413 Cambie St,Vancouver,BC,V6P6E8,49.2491543,-123.1154977,J1772,SWTCH,E,2023-05-31
Swtch Energy,815 Village Dr,Port Coquitlam,BC,V3B0G9,49.2520261,-122.7356144,J1772,SWTCH,E,2023-06-02
Swtch Energy,118 Yorkville Ave,Toronto,ON,M5R1C2,43.6708919,-79.3936683,J1772,SWTCH,P,2023-10-01
Swtch Energy,10035 105 St,Edmonton,AB,T5J1C8,53.55014,-113.46871,J1772,SWTCH,E,2023-04-06
Swtch Energy,1262 Marine Dr,North Vancouver,BC,L5H1J4,49.320904,-123.0940706,J1772,SWTCH,P,2023-10-01
Swtch Energy,1295 Commercial Way,Penticton,BC,V2A3H4,49.481799,-119.563907,J1772,SWTCH,E,2023-05-31
Swtch Energy,130 Brew St,Port Moody,BC,V3H0E3,49.280058,-122.8281528,J1772,SWTCH,E,2023-05-05
Swtch Energy,1478 Hartley Ave,Coquitlam,BC,V3K7B9,49.2264587,-122.8472037,J1772,SWTCH,E,2023-05-03
Swtch Energy,625 Cochrane Dr,Markham,ON,L3R9R9,43.8459357,-79.3661378,J1772,SWTCH,E,2023-04-05
Swtch Energy,15 Lakelands Blvd,Halifax,NS,B3S1G4,44.6371801,-63.6685923,J1772,SWTCH,E,2023-05-31
Swtch Energy,5555 N Service Rd,Burlington,ON,L7L6W6,43.3968618,-79.7632004,J1772,SWTCH,E,2023-04-04
Swtch Energy,60 Columbia Way,Markham,ON,L3R0C9,43.8519226,-79.3693099,J1772,SWTCH,E,2023-04-05
Swtch Energy,5410 54 Ave,Bonnyville,AB,T9N2K5,54.2712935,-110.7234435,J1772,SWTCH,E,2023-04-24
Swtch Energy,18964 96 Ave,Surrey,BC,V4N3R2,49.1768225,-122.6970803,J1772,SWTCH,E,2023-05-19
Swtch Energy,280A 3rd Ave N,Williams Lake,BC,V2G4T5,52.1303201,-122.1424792,J1772,SWTCH,E,2023-05-17
Swtch Energy,2850 Chem Gascon,Terrebonne,QC,J6X4H6,45.7285805,-73.67234,J1772,SWTCH,P,2023-10-01
SWTCH Energy,10 Thornmount Dr,Scarborough,ON,M1B 3J4,43.808556,-79.19894,J1772,SWTCH,E,2023-06-27
Swtch Energy,2000 Barrington St,Halifax,NS,B3J3K1,44.651039,-63.5772291,J1772,SWTCH,E,2023-02-03
Swtch Energy,20020 84 Ave,Langley Twp,BC,V2Y5K9,49.1553012,-122.6415649,J1772,SWTCH,E,2023-05-17
