title,price,mileage,transmission,location,year,brand,model,price_clean,mileage_clean,year_clean
2024 FIAT 500e (RED) | Up to $9000 in EV Rebates,"$43,484",5 km,Automatic,Kelowna,2024,FIAT,500e (RED),43484.0,5.0,2024.0
2024 FIAT 500e (RED) | Up to $9000 in EV Rebates,"$43,484",29 km,Automatic,Kelowna,2024,FIAT,500e (RED),43484.0,29.0,2024.0
2024 Subaru Solterra w/Luxury Package,Please Contact,18 km,Automatic,Hamilton,2024,Subaru,Solterra w/Luxury,,18.0,2024.0
2024 Subaru Solterra w/Luxury Package,Please Contact,19 km,Automatic,Hamilton,2024,Subaru,Solterra w/Luxury,,19.0,2024.0
2024 Honda Prologue Touring,"$73,102",0 km,Automatic,Waterloo,2024,Honda,Prologue Touring,73102.0,0.0,2024.0
2023 Tesla Model Y LONG RANGE AWD - WHITE INTERIOR,"$48,988","41,000 km",Automatic,Oakville,2023,Tesla,Model Y,48988.0,41000.0,2023.0
Chevrolet Bolt EUV 2022,"$25,499","100,000 km",Other,Lethbridge,Chevrolet,Bolt,EUV 2022,25499.0,100000.0,
2024 Chevrolet Silverado EV RST e4WD w/Rear Wheel Steering,"$122,458",12 km,Automatic,Medicine Hat,2024,Chevrolet,Silverado EV,122458.0,12.0,2024.0
2023 Hyundai Kona electric Ultimate A/C TOIT CUIR CAMERA GPS DEM,"$27,980","46,737 km",Automatic,Joliette,2023,Hyundai,Kona electric,27980.0,46737.0,2023.0
2023 Toyota bZ4X XLE,"$45,995","10,321 km",Automatic,Kelowna,2023,Toyota,bZ4X XLE,45995.0,10321.0,2023.0
2024 Chevrolet Silverado EV WT eAWD * ALL ELECTRIC *,Please Contact,6 km,,Medicine Hat,2024,Chevrolet,Silverado EV,,6.0,2024.0
2024 Honda Prologue Touring,"$72,390",10 km,Automatic,Hamilton,2024,Honda,Prologue Touring,72390.0,10.0,2024.0
2024 Mercedes-Benz EQB EQB 250,"$77,628",90 km,Automatic,Greenfield Park,2024,Mercedes-Benz,EQB EQB,77628.0,90.0,2024.0
2024 Ford F-150 Lightning LARIAT,"$101,811",10 km,Automatic,Windsor,2024,Ford,F-150 Lightning,101811.0,10.0,2024.0
2024 Ford F-150 Lightning XLT,"$77,381",11 km,Automatic,Windsor,2024,Ford,F-150 Lightning,77381.0,11.0,2024.0
2023 Ford E-Transit Cargo Van T350,"$63,025",13 km,Automatic,Windsor,2023,Ford,E-Transit Cargo,63025.0,13.0,2023.0
Hyundai Kona Electric Preferred FWD 2022,"$26,999","70,975 km",Automatic,Chambly,Hyundai,Kona,Electric Preferred,26999.0,70975.0,
TESLA MODEL 3 EV CUIR TOIT PANO NAV CAMERA 360 MAGS,"$21,999","117,388 km",Automatic,Chambly,TESLA,MODEL,3 EV,21999.0,117388.0,
2024 Chevrolet Equinox EV 3RS e-AWD- Surround Vision | Ventilate,"$53,174",0 km,,Richmond Hill,2024,Chevrolet,Equinox EV,53174.0,0.0,2024.0
KIA EV6 2024 LAND ENSEMBLE GT-LINE EV CAMERA 360 TOIT OUVRANT,"$53,999","30,946 km",Automatic,Chambly,KIA,EV6,2024 LAND,53999.0,30946.0,
2024 Mercedes-Benz EQB EQB 250,"$73,023",90 km,Automatic,Greenfield Park,2024,Mercedes-Benz,EQB EQB,73023.0,90.0,2024.0
2021 Tesla Model 3 Performance - One Owner - Clean Carfax His...,"$45,995","80,000 km",Automatic,Penticton,2021,Tesla,Model 3,45995.0,80000.0,2021.0
2024 Chevrolet Blazer EV eAWD RS- HD Surround Vision,"$58,394",0 km,,Richmond Hill,2024,Chevrolet,Blazer EV,58394.0,0.0,2024.0
2024 Chevrolet Blazer EV eAWD 1RS- HD Surround Vision | Ventilat,"$57,099",0 km,,Richmond Hill,2024,Chevrolet,Blazer EV,57099.0,0.0,2024.0
2024 Honda Prologue Touring,"$72,802",0 km,Automatic,Waterloo,2024,Honda,Prologue Touring,72802.0,0.0,2024.0
Audi E-Tron Progressiv S-Line Quattro 2023 à vendre,"$62,984","21,000 km",Automatic,Saint-Jérôme,Audi,E-Tron,Progressiv S-Line,62984.0,21000.0,
2023 Chevrolet Bolt EV 1LT Volant chauffant Mags Angle mort Carp,"$28,994","37,742 km",Automatic,Saint-Basile le-Grand,2023,Chevrolet,Bolt EV,28994.0,37742.0,2023.0
2024 Ford Mustang Mach-E Premium,"$73,785",10 km,Automatic,Windsor,2024,Ford,Mustang Mach-E,73785.0,10.0,2024.0
2024 Ford Mustang Mach-E Premium,"$71,090",10 km,Automatic,Windsor,2024,Ford,Mustang Mach-E,71090.0,10.0,2024.0
2024 Ford Mustang Mach-E Premium,"$70,740",10 km,Automatic,Windsor,2024,Ford,Mustang Mach-E,70740.0,10.0,2024.0
2014 Chevrolet Spark LT EV ELECTRIC HATCHBACK,"$10,871","66,799 km",Automatic,Ottawa,2014,Chevrolet,Spark LT,10871.0,66799.0,2014.0
2023 Subaru Solterra,Please Contact,5 km,Automatic,Grande Prairie,2023,Subaru,Solterra ,,5.0,2023.0
2024 Honda Prologue Touring,"$72,390",23 km,Automatic,London,2024,Honda,Prologue Touring,72390.0,23.0,2024.0
2025 Kia Niro EV Wave,"$52,540",10 km,Automatic,Roxboro,2025,Kia,Niro EV,52540.0,10.0,2025.0
2023 Subaru Solterra,Please Contact,5 km,Automatic,Grande Prairie,2023,Subaru,Solterra ,,5.0,2023.0
2024 Honda Prologue Touring,"$72,802",11 km,Automatic,Waterloo,2024,Honda,Prologue Touring,72802.0,11.0,2024.0
2017 Chevrolet Volt LT / CUIR,"$17,995","66,869 km",Automatic,Lévis,2017,Chevrolet,Volt LT,17995.0,66869.0,2017.0
